MCC;MNC;Country_code;NDC;SN_Start;SN_Stop
240;08;46;71;00000933000;00000933999
240;08;46;72;0870000;0879999
240;08;46;708;000000;999999
240;08;46;709;000000;999999
240;08;46;733;000000;999999
240;08;46;1026;00000;99999
240;08;46;6747;00000000;99999999
240;08;46;7011;00000;99999
240;08;46;7014;00000;99999
240;08;46;7019;70000;76999
240;08;46;7215;00000;99999
240;08;46;7216;00000;99999
240;08;46;7217;00000;99999
240;08;46;7218;00000;99999
240;08;46;7219;00000;99999
240;08;46;7235;00000;99999
240;08;46;7236;00000;99999
240;08;46;7237;00000;99999
240;08;46;7238;00000;99999
240;08;46;7239;00000;99999
240;08;46;7281;91000;92999
240;08;46;7282;00000;99999
240;08;46;7288;00000;99999
240;08;46;7296;00000;99999
240;08;46;7297;00000;99999
240;08;46;7298;00000;99999
240;08;46;7299;00000;99999
240;08;46;7310;00000;99999
240;08;46;7314;00000;99999
240;08;46;7315;00000;99999
240;08;46;7316;00000;99999
240;08;46;7320;00000;99999
240;08;46;7323;00000;99999
240;08;46;7324;00000;99999
240;08;46;7325;00000;99999
240;08;46;7326;00000;99999
240;08;46;7328;00000;99999
240;08;46;7340;00000;99999
240;08;46;7341;00000;99999
240;08;46;7342;00000;99999
240;08;46;7343;00000;99999
240;08;46;7344;00000;99999
240;08;46;7385;00000;99999
240;08;46;7388;00000;99999
240;08;46;7635;00000;99999
240;08;46;7636;00000;99999
240;08;46;7637;00000;99999
240;08;46;7660;00000;99999
240;08;46;7661;00000;99999
240;08;46;7662;00000;99999
240;08;46;7663;00000;99999
240;08;46;7664;00000;99999
240;08;46;7685;00000;99999
240;08;46;7686;00000;99999
240;08;46;7687;00000;99999
240;08;46;7688;00000;99999
240;08;46;7689;00000;99999
240;08;46;7997;00000;99999
240;08;46;70199;0000;5999
240;08;46;72059;0000;9999
240;08;46;72082;0000;9999
240;08;46;72088;0000;9999
240;08;46;72342;0000;9999
240;08;46;72346;1000;4999
240;08;46;72346;6000;8999
240;08;46;72349;1000;8999
240;08;46;72602;0000;9999
240;08;46;72644;0000;9999
240;08;46;72660;0000;9999
240;08;46;72666;0000;9999
240;08;46;72691;0000;9999
240;08;46;72754;0000;9999
240;08;46;72790;0000;9999
240;08;46;72791;0000;9999
240;08;46;72792;0000;9999
240;08;46;72793;0000;9999
240;08;46;72794;0000;9999
240;08;46;73125;0000;9999
240;08;46;73451;0000;9999
240;08;46;73457;0000;9999
240;08;46;73458;0000;9999
240;08;46;73462;0000;9999
240;08;46;73463;0000;9999
240;08;46;73464;0000;9999
240;08;46;73465;0000;9999
240;08;46;73466;0000;9999
240;08;46;73467;0000;9999
240;08;46;73468;0000;9999
240;08;46;73469;0000;9999
240;08;46;73471;0000;9999
240;08;46;73472;0000;9999
240;08;46;73860;0000;9999
240;08;46;73861;0000;9999
240;08;46;73862;0000;9999
240;08;46;76666;0000;9999
240;08;46;76668;0000;9999
240;08;46;76727;0000;9999
240;08;46;79005;0000;7999
240;08;46;710000;4000000;4499999
240;08;46;719001;2000000;3999999
240;08;46;724000;000;999
240;08;46;724006;000;999
240;08;46;724007;000;999
240;08;46;726002;000;999
240;08;46;726007;000;999
240;08;46;727508;000;999
240;08;46;727513;000;999
240;08;46;727514;000;999
240;08;46;727518;000;999
240;08;46;727519;000;999
240;08;46;728103;000;999
240;08;46;728104;000;999
240;08;46;728105;000;999
240;08;46;728106;000;999
240;08;46;728107;000;999
240;08;46;728108;000;999
240;08;46;728109;000;999
240;08;46;791402;2000;3999
240;08;46;791405;000;999
240;08;46;7100000;000000;499999
240;08;46;7190001;000000;999999
240;08;46;7190002;000000;999999
240;08;46;7190003;000000;999999
240;08;46;7190004;000000;999999
240;08;46;7190007;000000;999999
240;08;46;7190008;000000;999999
240;08;46;7190009;000000;999999
240;08;46;7190011;000000;999999
240;08;46;7190019;000000;999999
240;08;46;7191001;000000;999999
240;08;46;7191002;000000;999999
240;08;46;7191004;000000;999999
240;08;46;7191005;000000;999999
240;08;46;7191007;000000;999999
240;08;46;7191011;000000;999999
240;08;46;7191012;000000;999999
240;08;46;7191013;000000;999999
240;08;46;7191014;000000;999999
240;08;46;7191015;000000;999999
240;08;46;71900050;00000;99999
240;08;46;71900051;00000;99999
240;08;46;71900052;00000;99999
240;08;46;71900053;00000;99999
240;08;46;71900054;00000;99999
240;08;46;71900056;00000;99999
240;08;46;71910106;00000;99999
240;08;46;710000093;1000;2999
240;08;46;710000096;0000;9999
240;08;46;719121001;0000;9999
